SCHOOL NO.,ENGLISH CATEGORY,中文類別,ENGLISH NAME,中文名稱,ENGLISH ADDRESS,中文地址,LONGITUDE,經度,LATITUDE,緯度,EASTING,坐標東,NORTHING,坐標北,STUDENTS GENDER,就讀學生性別,SESSION,學校授課時間,DISTRICT,分區,FINANCE TYPE,資助種類,SCHOOL LEVEL,學校類型,TELEPHONE,聯絡電話,FAX NUMBER,傳真號碼,WEBSITE,網頁,RELIGION,宗教
600881000123,Aided Primary Schools,資助小學,CHRISTIAN & MISSIONARY ALLIANCE SUN KEI PRIMARY SCHOOL (PING SHEK),基督教宣道會宣基小學(坪石),ESTATE SCHOOL NO.2 PING SHEK ESTATE 12 CLEAR WATER BAY ROAD KOWLOON,九龍清水灣道12號坪石邨屋邨小學第二校舍,114.21095557,114.21095557,22.33401702,22.33401702,839779.0,839779.0,821663.0,821663.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,23423322,23423322,23423396,23423396,http://www.sk2.edu.hk,http://www.sk2.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
602558000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA FONG YUN WAH PRIMARY SCHOOL,中華基督教會方潤華小學,ESTATE PRIMARY SCHOOL TIN YIU ESTATE PHASE II TIN SHUI WAI NEW TERRITORIES,新界天水圍天耀邨第二期屋邨小學校舍,114.00527382,114.00527382,22.45335794,22.45335794,818605.0,818605.0,834888.0,834888.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,22519751,22519751,22519759,22519759,http://www.cccfyw.edu.hk,http://www.cccfyw.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
575720000123,Aided Primary Schools,資助小學,SHEK LEI ST. JOHN'S CATHOLIC PRIMARY SCHOOL,石籬聖若望天主教小學,"99 TAI PAK TIN STREET, KWAI CHUNG, NEW TERRITORIES",新界葵涌大白田街９９號,114.14055144,114.14055144,22.36923573,22.36923573,832527.0,832527.0,825563.0,825563.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,35950036,35950036,35950163,35950163,http://www.slsj.edu.hk,http://www.slsj.edu.hk,CATHOLICISM,天主教
578320000223,Aided Primary Schools,資助小學,TUNG WAH GROUP OF HOSPITALS MA KAM CHAN MEMORIAL PRIMARY SCHOOL,東華三院馬錦燦紀念小學,"2 CHING SHING ROAD, SHEUNG SHUI, NEW TERRITORIES",新界上水清城路２號,114.12403697,114.12403697,22.49430285,22.49430285,830831.0,830831.0,839413.0,839413.0,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26711071,26711071,26711079,26711079,http://www.twghmkc.edu.hk,http://www.twghmkc.edu.hk,NOT APPLICABLE,不適用
584118000123,Aided Primary Schools,資助小學,PO LEUNG KUK WOMEN'S WELFARE CLUB WESTERN DISTRICT FUNG LEE PUI YIU PRIMARY SCHOOL,保良局西區婦女福利會馮李佩瑤小學,11 KWUN TSING ROAD SO KWUN WAT TUEN MUN NEW TERRITORIES,新界屯門掃管笏管青路１１號,113.99531204,113.99531204,22.37395127,22.37395127,817569.0,817569.0,826096.0,826096.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24112208,24112208,24112207,24112207,http://plkflpy.edu.hk,http://plkflpy.edu.hk,NOT APPLICABLE,不適用
584126000123,Aided Primary Schools,資助小學,SHUN TAK FRATERNAL ASSOCIATION LEE KAM PRIMARY SCHOOL,順德聯誼總會李金小學,23 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES,新界屯門掃管笏路２３號,113.99601081,113.99601081,22.3742049,22.3742049,817641.0,817641.0,826124.0,826124.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24411222,24411222,24411282,24411282,http://www.leekamps.edu.hk,http://www.leekamps.edu.hk,NOT APPLICABLE,不適用
579513000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA HEEP WOH PRIMARY SCHOOL (CHEUNG SHA WAN),中華基督教會協和小學（長沙灣）,18 TONKIN STREET SHAM SHUI PO KOWLOON,九龍深水埗東京街１８號,114.15796509,114.15796509,22.33461554,22.33461554,834320.0,834320.0,821729.0,821729.0,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水埗區,AIDED,資助,PRIMARY,小學,21119099,21119099,21119826,21119826,http://www.heepwohcsw.edu.hk,http://www.heepwohcsw.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
578320000123,Aided Primary Schools,資助小學,TUNG WAH GROUP OF HOSPITALS MA KAM CHAN MEMORIAL PRIMARY SCHOOL,東華三院馬錦燦紀念小學,"CHOI YUEN ESTATE, SHEUNG SHUI, NEW TERRITORIES",新界上水彩園邨,114.13002182,114.13002182,22.49882922,22.49882922,831447.0,831447.0,839914.0,839914.0,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26711071,26711071,26711079,26711079,http://www.twghmkc.edu.hk,http://www.twghmkc.edu.hk,NOT APPLICABLE,不適用
575844000123,Aided Primary Schools,資助小學,S.K.H. YUEN CHEN MAUN CHEN JUBILEE PRIMARY SCHOOL,聖公會阮鄭夢芹銀禧小學,ESTATE PRIMARY SCHOOL AREA 8 FU HENG ESTATE PHASE IV TAI PO NEW TERRITORIES,新界大埔富亨邨第四期第八區屋邨小學,114.1723566,114.1723566,22.45945432,22.45945432,835803.0,835803.0,835553.0,835553.0,CO-ED,男女,WHOLE DAY,全日,TAI PO,大埔區,AIDED,資助,PRIMARY,小學,26660606,26660606,26678051,26678051,http://www.skhycmcj.edu.hk,http://www.skhycmcj.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
579556000123,Aided Primary Schools,資助小學,"CHINESE METHODIST SCHOOL, TANNER HILL",丹拿山循道學校,"4 PAK FUK ROAD, NORTH POINT, HONG KONG",香港北角百福道４號,114.20515177,114.20515177,22.29070738,22.29070738,839182.0,839182.0,816867.0,816867.0,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,AIDED,資助,PRIMARY,小學,25615822,25615822,25615800,25615800,http://www.cmsth.edu.hk,http://www.cmsth.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
579548000123,Aided Primary Schools,資助小學,KOWLOON TONG BISHOP WALSH CATHOLIC SCHOOL,九龍塘天主教華德學校,39 INVERNESS ROAD KOWLOON,九龍延文禮士道３９號,114.18624163,114.18624163,22.33449896,22.33449896,837233.0,837233.0,821716.0,821716.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,23373768,23373768,23373776,23373776,http://www.ktbwcs.edu.hk,http://www.ktbwcs.edu.hk,CATHOLICISM,天主教
579220000123,Aided Primary Schools,資助小學,SHA TIN WAI DR. CATHERINE F. WOO MEMORIAL SCHOOL,沙田圍胡素貞博士紀念學校,2 JAT MIN CHUEN STREET SHATIN NEW TERRITORIES,新界沙田乙明邨街２號,114.19111874,114.19111874,22.37555151,22.37555151,837735.0,837735.0,826262.0,826262.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26869891,26869891,26869969,26869969,http://www.stwdcfwms.edu.hk,http://www.stwdcfwms.edu.hk,NOT APPLICABLE,不適用
575526000123,Aided Primary Schools,資助小學,SI YUAN SCHOOL OF THE PRECIOUS BLOOD,寶血會思源學校,2 SHING MUN ROAD TSUEN WAN NEW TERRITORIES,新界荃灣城門道２號,114.12253024,114.12253024,22.3705672,22.3705672,830671.0,830671.0,825711.0,825711.0,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,AIDED,資助,PRIMARY,小學,35906061,35906061,35906064,35906064,http://www.sys.edu.hk,http://www.sys.edu.hk,CATHOLICISM,天主教
575615000123,Aided Primary Schools,資助小學,JORDAN VALLEY ST. JOSEPH'S CATHOLIC PRIMARY SCHOOL,佐敦谷聖若瑟天主教小學,80 CHOI HA ROAD KOWLOON,九龍彩霞道８０號,114.21383713,114.21383713,22.32865223,22.32865223,840076.0,840076.0,821069.0,821069.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,23050061,23050061,23053005,23053005,http://www.jvsj.edu.hk,http://www.jvsj.edu.hk,CATHOLICISM,天主教
575534000123,Aided Primary Schools,資助小學,MARYKNOLL FATHERS' SCHOOL (PRIMARY SECTION),瑪利諾神父教會學校（小學部）,11 HOI LAI STREET SHAM SHUI PO KOWLOON,九龍深水埗海麗街１１號,114.14580289,114.14580289,22.3314349,22.3314349,833067.0,833067.0,821377.0,821377.0,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水埗區,AIDED,資助,PRIMARY,小學,"27788235,27788290","27788235,27788290",27761744,27761744,http://www.mfsp.edu.hk,http://www.mfsp.edu.hk,CATHOLICISM,天主教
575607000123,Aided Primary Schools,資助小學,SHAM TSENG CATHOLIC PRIMARY SCHOOL,深井天主教小學,37 CASTLE PEAK ROAD SHAM TSENG TSUEN WAN NEW TERRITORIES,新界荃灣青山公路深井段３７號,114.06046967,114.06046967,22.36746411,22.36746411,824279.0,824279.0,825371.0,825371.0,CO-ED,男女,WHOLE DAY,全日,TSUEN WAN,荃灣區,AIDED,資助,PRIMARY,小學,24903912,24903912,24903913,24903913,http://www.stcpri.edu.hk,http://www.stcpri.edu.hk,CATHOLICISM,天主教
566462000123,Aided Primary Schools,資助小學,FUNG KAI INNOVATIVE SCHOOL,鳳溪創新小學,19A JOCKEY CLUB ROAD SHEUNG SHUI NEW TERRITORIES,新界上水馬會道１９Ａ號,114.12815164,114.12815164,22.51091103,22.51091103,831255.0,831255.0,841252.0,841252.0,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26392201,26392201,26727090,26727090,http://www.fkis.edu.hk,http://www.fkis.edu.hk,NOT APPLICABLE,不適用
572357000123,Aided Primary Schools,資助小學,BUDDHIST CHAN WING KAN MEMORIAL SCHOOL,佛教陳榮根紀念學校,"23 LAM HAU TSUEN ROAD, MA TIN, YUEN LONG, N.T.",新界元朗馬田欖口村路２３號,114.01984479,114.01984479,22.43777722,22.43777722,820103.0,820103.0,833161.0,833161.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24753663,24753663,24753991,24753991,http://www.bcwkms.edu.hk,http://www.bcwkms.edu.hk,BUDDHISM,佛教
572365000123,Aided Primary Schools,資助小學,THE SALVATION ARMY CENTALINE CHARITY FUND SCHOOL,救世軍中原慈善基金學校,9 WAH HA STREET CHAI WAN HONG KONG,香港柴灣華廈街九號,114.23747308,114.23747308,22.26202624,22.26202624,842514.0,842514.0,813692.0,813692.0,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,AIDED,資助,PRIMARY,小學,25562292,25562292,25562722,25562722,http://www.saccf.edu.hk,http://www.saccf.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
569631000123,Aided Primary Schools,資助小學,ST. EUGENE DE MAZENOD OBLATE PRIMARY SCHOOL,獻主會聖馬善樂小學,24 TIN KWONG ROAD TOKWAWAN KOWLOON,九龍土瓜灣天光道２４號,114.18604652,114.18604652,22.31984204,22.31984204,837213.0,837213.0,820093.0,820093.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27151011,27151011,27151012,27151012,http://www.semops.edu.hk,http://www.semops.edu.hk,CATHOLICISM,天主教
575500000123,Aided Primary Schools,資助小學,TAOIST CHING CHUNG PRIMARY SCHOOL (WU KING ESTATE),道教青松小學（湖景邨）,ESTATE PRIMARY SCHOOL NO 1 PHASE 1 WU KING ESTATE AREA 28 TUEN MUN NEW TERRITORIES,新界屯門第２８區湖景邨第一期屋邨小學第１號校舍,113.96524997,113.96524997,22.37449241,22.37449241,814473.0,814473.0,826160.0,826160.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24652881,24652881,24656863,24656863,http://www.tccpswke.edu.hk,http://www.tccpswke.edu.hk,TAOISM,道教
571962000123,Aided Primary Schools,資助小學,"CHRISTIAN ALLIANCE TOI SHAN H. C. CHAN PRIMARY SCHOOL OF THE KOWLOON TONG CHURCH OF THE CHINESE CHRISTIAN AND MISSIONARY ALLIANCE, HONG KONG",香港九龍塘基督教中華宣道會台山陳元喜小學,"CHUNG ON ESTATE, MA ON SHAN, SHATIN, NEW TERRITORIES",新界沙田馬鞍山頌安邨,114.22590549,114.22590549,22.42046214,22.42046214,841316.0,841316.0,831236.0,831236.0,CO-ED,男女,WHOLE DAY,全日,SHA TIN,沙田區,AIDED,資助,PRIMARY,小學,26339277,26339277,26339080,26339080,http://www.catshcc.edu.hk,http://www.catshcc.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
560529000123,Aided Primary Schools,資助小學,ABERDEEN ST PETER'S CATHOLIC PRIMARY SCHOOL,香港仔聖伯多祿天主教小學,SHEK PAI WAN ESTATE HONG KONG,香港石排灣邨,114.15777262,114.15777262,22.25073005,22.25073005,834299.0,834299.0,812440.0,812440.0,CO-ED,男女,WHOLE DAY,全日,SOUTHERN,南區,AIDED,資助,PRIMARY,小學,28735101,28735101,28735100,28735100,http://www.aspcps.edu.hk,http://www.aspcps.edu.hk,CATHOLICISM,天主教
556483000123,Aided Primary Schools,資助小學,TSEUNG KWAN O METHODIST PRIMARY SCHOOL,將軍澳循道衛理小學,"15 TONG CHUN STREET, TSEUNG KWAN O NEW TERRITORIES",新界將軍澳唐俊街１５號,114.26184156,114.26184156,22.30529911,22.30529911,845023.0,845023.0,818485.0,818485.0,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,AIDED,資助,PRIMARY,小學,27060770,27060770,27062207,27062207,http://www.tkomps.edu.hk,http://www.tkomps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
558672000123,Aided Primary Schools,資助小學,S.K.H. TSEUNG KWAN O KEI TAK PRIMARY SCHOOL,聖公會將軍澳基德小學,82 PO HONG ROAD TSEUNG KWAN O NEW TERRITORIES.,新界將軍澳寶康路８２號,114.25174845,114.25174845,22.3236362,22.3236362,843982.0,843982.0,820515.0,820515.0,CO-ED,男女,WHOLE DAY,全日,SAI KUNG,西貢區,AIDED,資助,PRIMARY,小學,23206066,23206066,21911551,21911551,http://www.tkokt.edu.hk,http://www.tkokt.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
560685000123,Aided Primary Schools,資助小學,TUNG WAH GROUP OF HOSPITALS CHOW YIN SUM PRIMARY SCHOOL,東華三院周演森小學,8 TSING CHIN STREET TSING YI NEW TERRITORIES,新界青衣青芊街８號,114.10240429,114.10240429,22.34880462,22.34880462,828597.0,828597.0,823302.0,823302.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24331081,24331081,24331091,24331091,http://twghscysps.edu.hk,http://twghscysps.edu.hk,NOT APPLICABLE,不適用
560634000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA WANCHAI CHURCH KEI TO PRIMARY SCHOOL (KOWLOON CITY),中華基督教會灣仔堂基道小學（九龍城）,170 KAU PUI LUNG ROAD KOWLOON CITY KOWLOON,九龍九龍城靠背壟道１７０號,114.18596859,114.18596859,22.31550736,22.31550736,837205.0,837205.0,819613.0,819613.0,CO-ED,男女,WHOLE DAY,全日,KOWLOON CITY,九龍城區,AIDED,資助,PRIMARY,小學,27147000,27147000,27147744,27147744,http://ktkc.edu.hk,http://ktkc.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
560430000123,Aided Primary Schools,資助小學,S.K.H. YAUTONG KEI HIN PRIMARY SCHOOL,聖公會油塘基顯小學,23 YAU TONG ROAD YAU TONG KOWLOON,九龍油塘油塘道２３號,114.23530594,114.23530594,22.30005503,22.30005503,842289.0,842289.0,817903.0,817903.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,27570322,27570322,27170029,27170029,http://www.skhykh.edu.hk,http://www.skhykh.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
554685000123,Aided Primary Schools,資助小學,KWONG MING YING LOI SCHOOL,光明英來學校,12 YUEN CHING ROAD YUEN LONG NEW TERRITORIES,新界元朗元政路１２號,114.03844256,114.03844256,22.44265231,22.44265231,822018.0,822018.0,833699.0,833699.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24762610,24762610,24739829,24739829,http://www.kmyls.edu.hk,http://www.kmyls.edu.hk,NOT APPLICABLE,不適用
560448000123,Aided Primary Schools,資助小學,THE CHURCH OF CHRIST IN CHINA KEI FAAT PRIMARY SCHOOL (YAU TONG),中華基督教會基法小學（油塘）,25 YAU TONG ROAD YAU TONG KOWLOON,九龍油塘油塘道２５號,114.23401509,114.23401509,22.29973039,22.29973039,842156.0,842156.0,817867.0,817867.0,CO-ED,男女,WHOLE DAY,全日,KWUN TONG,觀塘區,AIDED,資助,PRIMARY,小學,23895458,23895458,23424459,23424459,http://www.kfps.edu.hk,http://www.kfps.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
554596000123,Aided Primary Schools,資助小學,TSANG MUI MILLENNIUM SCHOOL,曾梅千禧學校,1 CHING SHING ROAD SHEUNG SHUI NEW TERRITORIES,新界上水清城路１號,114.12523252,114.12523252,22.49373462,22.49373462,830954.0,830954.0,839350.0,839350.0,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26703111,26703111,26707117,26707117,http://www.tmms.edu.hk,http://www.tmms.edu.hk,NOT APPLICABLE,不適用
554650000123,Aided Primary Schools,資助小學,S.K.H. ST. ANDREW'S PRIMARY SCHOOL,聖公會聖安德烈小學,3 HOI LAI STREET SHAM SHUI PO KOWLOON,九龍深水埗海麗街３號,114.1474629,114.1474629,22.33075792,22.33075792,833238.0,833238.0,821302.0,821302.0,CO-ED,男女,WHOLE DAY,全日,SHAM SHUI PO,深水埗區,AIDED,資助,PRIMARY,小學,29591551,29591551,29596353,29596353,http://www.skhstandrews.edu.hk,http://www.skhstandrews.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
550450000123,Aided Primary Schools,資助小學,HHCKLA BUDDHIST WISDOM PRIMARY SCHOOL,香海正覺蓮社佛教正慧小學,"6 CHING SHING ROAD, SHEUNG SHUI, NEW TERRITORIES",新界上水清城路６號,114.12410522,114.12410522,22.49372522,22.49372522,830838.0,830838.0,839349.0,839349.0,CO-ED,男女,WHOLE DAY,全日,NORTH,北區,AIDED,資助,PRIMARY,小學,26689088,26689088,26680278,26680278,http://www.wisdom.edu.hk,http://www.wisdom.edu.hk,BUDDHISM,佛教
554634000123,Aided Primary Schools,資助小學,CHIU YANG POR YEN PRIMARY SCHOOL,潮陽百欣小學,"55 TIN WAH ROAD, TIN SHUI WAI, NEW TERRITORIES",新界天水圍天華路５５號,114.00623312,114.00623312,22.46334659,22.46334659,818705.0,818705.0,835994.0,835994.0,CO-ED,男女,WHOLE DAY,全日,YUEN LONG,元朗區,AIDED,資助,PRIMARY,小學,24451666,24451666,24487866,24487866,http://www.cypy.edu.hk,http://www.cypy.edu.hk,NOT APPLICABLE,不適用
554669000123,Aided Primary Schools,資助小學,SALESIAN YIP HON MILLENNIUM PRIMARY SCHOOL,慈幼葉漢千禧小學,9 SHEK PAI STREET KWAI CHUNG NEW TERRITORIES,新界葵涌石排街９號,114.13754291,114.13754291,22.36426823,22.36426823,832217.0,832217.0,825013.0,825013.0,CO-ED,男女,WHOLE DAY,全日,KWAI TSING,葵青區,AIDED,資助,PRIMARY,小學,24291177,24291177,24233616,24233616,http://www.syh.edu.hk,http://www.syh.edu.hk,CATHOLICISM,天主教
554618000123,Aided Primary Schools,資助小學,S.K.H. CHAI WAN ST. MICHAEL'S PRIMARY SCHOOL,聖公會柴灣聖米迦勒小學,380 CHAI WAN ROAD CHAI WAN HONG KONG,香港柴灣柴灣道３８０號,114.24337348,114.24337348,22.26539207,22.26539207,843122.0,843122.0,814065.0,814065.0,CO-ED,男女,WHOLE DAY,全日,EASTERN,東區,AIDED,資助,PRIMARY,小學,31028101,31028101,31022023,31022023,http://www.skhcwsms.edu.hk,http://www.skhcwsms.edu.hk,PROTESTANTISM / CHRISTIANITY,基督教
550426000123,Aided Primary Schools,資助小學,AD&FD OF POK OI HOSPITAL MRS CHENG YAM ON MILLENNIUM SCHOOL,博愛醫院歷屆總理聯誼會鄭任安夫人千禧小學,111 SO KWUN WAT ROAD TUEN MUN NEW TERRITORIES,新界屯門掃管笏路１１１號,114.00401442,114.00401442,22.37194699,22.37194699,818465.0,818465.0,825873.0,825873.0,CO-ED,男女,WHOLE DAY,全日,TUEN MUN,屯門區,AIDED,資助,PRIMARY,小學,24510088,24510088,24510022,24510022,http://www.mcyoms.edu.hk,http://www.mcyoms.edu.hk,NOT APPLICABLE,不適用
